,TERM,COST,MEAN
1566,eighteen,"['$2.75', '$4.25', '$5.25', '$7.5', '$12.95']",6.540000000000001
1567,eighties,15.97,15.97
1568,eighty,39.83,39.83
1569,either,20.46,20.46
1570,elaborate,4.5,4.5
1571,elastic,,
1572,elbows,"['$1.98', '$1.98', '$6.5', '$6.95', '$6.95', '$6.95', '$7.95', '$8.95', '$9.95', '$9.95', '$9.95', '$9.95', '$14.88', '$14.88']",8.412142857142857
1573,elderly,33.99,33.99
1574,elected,31.99,31.99
1575,electron,"['$0.0', '$0.0', '$0.0', '$0.0', '$0.0', '$0.0', '$1.0', '$10.0', '$60.0', '$200.0']",27.1
1576,elegant,18.7,18.7
1577,elementary,69.0,69.0
1578,elevate,47.99,47.99
1579,eliminate,8.99,8.99
1580,else,19.99,19.99
1581,em,5.95,5.95
1582,email,3.0,3.0
1583,emailed,4.85,4.85
1584,emails,2.99,2.99
1585,embrace,8.75,8.75
1586,embracing,4.49,4.49
1587,emergency,4.58,4.58
1588,emotion,4.56,4.56
1589,emotional,25.46,25.46
1590,emotionally,4.5,4.5
1591,emotions,37.99,37.99
1592,emphasis,,
1593,emphasize,18.99,18.99
1594,empire,40.17,40.17
1595,employ,0.25,0.25
1596,employee,199.95,199.95
1597,employees,3.99,3.99
1598,employment,5.49,5.49
1599,empowering,45.0,45.0
1600,empty,7.29,7.29
1601,enable,34.99,34.99
1602,enabled,79.98,79.98
1603,enables,60.95,60.95
1604,encounter,14.95,14.95
1605,encourage,5.99,5.99
1606,encouraged,14.95,14.95
1607,encourages,19.76,19.76
1608,encroach,"['$0.07', '$0.13', '$0.18', '$0.2', '$0.25', '$0.25', '$0.78']",0.2657142857142857
1609,encryption,299.99,299.99
1610,end,"['$4.99', '$5.0', '$10.0']",6.663333333333334
1611,endeavored,89.0,89.0
1612,ended,18.99,18.99
1613,ends,13.6,13.6
1614,enduring,9.0,9.0
1615,enemies,6.95,6.95
1616,energizing,67.0,67.0
1617,energy,53.0,53.0
1618,engage,17.97,17.97
1619,engagement,239.99,239.99
1620,engagements,75.0,75.0
1621,engine,500.0,500.0
1622,engineer,69.89,69.89
1623,engineering,129.0,129.0
1624,engineers,129.0,129.0
1625,english,254.99,254.99
1626,enhance,24.95,24.95
1627,enhanced,955.0,955.0
1628,enhancing,8.97,8.97
1629,enjoy,12.59,12.59
1630,enjoyed,16.5,16.5
1631,enjoying,5.99,5.99
1632,enormous,24.99,24.99
1633,enough,2.51,2.51
1634,ensure,45.99,45.99
1635,entering,12.95,12.95
1636,enterprise,89.99,89.99
1637,enthusiasm,16.99,16.99
1638,entire,17.5,17.5
1639,entities,13.53,13.53
1640,entitled,27.45,27.45
1641,entitlement,4.55,4.55
1642,entrepreneur,5.99,5.99
1643,entrepreneurial,9.9,9.9
1644,entrepreneurs,5.28,5.28
1645,entry,16.95,16.95
1646,environment,4.95,4.95
1647,environmental,"['$4.0', '$8.14', '$18.81', '$25.0', '$138.0']",38.79
1648,envision,4550.0,4550.0
1649,episode,"['$1.5', '$3.0', '$5.0', '$7.0', '$15.0', '$15.0', '$170.0', '$157000.0']",19652.0625
1650,equal,13.83,13.83
1651,equals,15.3,15.3
1652,equation,24.95,24.95
1653,equipment,29.0,29.0
1654,equipped,5.95,5.95
1655,equity,12.95,12.95
1656,equivalent,14.99,14.99
1657,era,12.99,12.99
1658,errand,5.09,5.09
1659,error,200.0,200.0
1660,errors,685.0,685.0
1661,es,61.95,61.95
1662,escape,19.45,19.45
1663,escorted,14.99,14.99
1664,especially,26.75,26.75
1665,essential,14.0,14.0
1666,essentially,21.99,21.99
1667,establish,14.99,14.99
1668,estate,20.71,20.71
1669,estates,11.99,11.99
1670,esteemed,6.5,6.5
1671,estimated,3995.0,3995.0
1672,ethically,13.5,13.5
1673,ethics,29.99,29.99
1674,etiquette,41.99,41.99
1675,evangelist,13.99,13.99
1676,even,9.99,9.99
1677,event,6.29,6.29
1678,events,5.57,5.57
1679,eventually,2.99,2.99
1680,ever,46.95,46.95
1681,every,38.99,38.99
1682,everybody,10.0,10.0
1683,everybody's,12.62,12.62
1684,everyday,7.99,7.99
1685,everyone,9.99,9.99
1686,everyone's,3.97,3.97
1687,everything,16.83,16.83
1688,everything's,4.09,4.09
1689,everywhere,1.99,1.99
1690,evict,159.99,159.99
1691,evidence,9.95,9.95
1692,evil,38.99,38.99
1693,evolutionary,9.0,9.0
1694,evolve,24.99,24.99
1695,evolved,34.99,34.99
1696,evolves,16.0,16.0
1697,exact,27.99,27.99
1698,exactly,12.49,12.49
1699,exam,15.99,15.99
1700,example,4.68,4.68
1701,examples,14.78,14.78
1702,exceeds,17.38,17.38
1703,excellent,369.0,369.0
1704,except,6.99,6.99
1705,exceptionally,8.98,8.98
1706,excessive,9.5,9.5
1707,exchange,41.0,41.0
1708,exchanges,32.21,32.21
1709,excited,$1391.0,1391.0
1710,excitement,2.25,2.25
1711,exciting,225.0,225.0
1712,excuse,5.99,5.99
1713,excuses,7.43,7.43
1714,exec,9.98,9.98
1715,execute,28.15,28.15
1716,execution,5.99,5.99
1717,executive,52.99,52.99
1718,executives,4.89,4.89
1719,exempt,119.0,119.0
1720,exercise,18.99,18.99
1721,exercised,18.99,18.99
1722,exist,319.8,319.8
1723,existed,1250.0,1250.0
1724,existence,16.95,16.95
1725,existences,20.36,20.36
1726,existing,6.9,6.9
1727,exit,36.0,36.0
1728,expand,49.99,49.99
1729,expanded,13.64,13.64
1730,expands,15.29,15.29
1731,expansion,124.99,124.99
1732,expect,,
1733,expectation,599.99,599.99
1734,expected,49.88,49.88
1735,expecting,"['$5.0', '$22.0', '$22.0', '$22.0']",17.75
1736,expend,34.89,34.89
1737,expense,12.95,12.95
1738,expenses,14.99,14.99
1739,expensive,1000000.0,1000000.0
1740,experience,38.43,38.43
1741,experienced,16.98,16.98
1742,experiences,0.99,0.99
1743,experiencing,4.49,4.49
1744,experiment,6.95,6.95
1745,expert,114.0,114.0
1746,experts,18.95,18.95
1747,expiration,13.49,13.49
1748,explain,"['$1.0', '$14.5']",7.75
1749,explained,9.24,9.24
1750,explains,9.33,9.33
1751,explanation,3.8,3.8
1752,expletive,14.99,14.99
1753,explicitly,24.99,24.99
1754,explode,10.99,10.99
1755,exploded,6.61,6.61
1756,expo,5.99,5.99
1757,exponential,$220.0,220.0
1758,exponentially,67.2,67.2
1759,export,75.0,75.0
1760,exporting,75.99,75.99
1761,exports,19.99,19.99
1762,expose,7.99,7.99
1763,exposed,39.95,39.95
1764,exposure,33.0,33.0
1765,express,16.99,16.99
1766,expressed,21.24,21.24
1767,expressing,4.49,4.49
1768,extended,29.95,29.95
1769,extension,7.5,7.5
1770,external,"['$25.0', '$25.0', '$49.99', '$50.0', '$50.0', '$50.0', '$66.99', '$83.72', '$99.99', '$129.95', '$199.99']",75.51181818181819
1771,extra,25.0,25.0
1772,extraordinary,7.96,7.96
1773,extreme,7.99,7.99
1774,extremely,3.99,3.99
1775,exuded,59.0,59.0
1776,eye,5.99,5.99
1777,eyeballs,15.99,15.99
1778,eyes,7.69,7.69
1779,eyesight,4.43,4.43
1780,fabric,4.5,4.5
1781,face,15.95,15.95
1782,facial,14.95,14.95
1783,facing,"['$19.99', '$20.0', '$22.99', '$149.0']",52.995
1784,fact,11.0,11.0
1785,factor,,
1786,factors,29.43,29.43
1787,factory,134.99,134.99
1788,facts,9.99,9.99
1789,fail,17.99,17.99
1790,failed,20.0,20.0
1791,fails,65.98,65.98
1792,failure,19.97,19.97
1793,failure's,5.99,5.99
1794,failures,55.0,55.0
1795,fair,19.95,19.95
1796,fairly,8.95,8.95
1797,faith,11.25,11.25
1798,fake,13.99,13.99
1799,faked,13.99,13.99
1800,fall,6.5,6.5
1801,falling,8.92,8.92
1802,falls,10.38,10.38
1803,false,5.99,5.99
1804,familiar,10.31,10.31
1805,families,8.49,8.49
1806,family,9.95,9.95
1807,family's,6.49,6.49
1808,famous,14.97,14.97
1809,fan,28.49,28.49
1810,fancy,23.27,23.27
1811,fang,5.99,5.99
1812,fans,36.89,36.89
1813,fantastic,"['$10.0', '$10.0', '$10.95', '$12.0', '$13.0', '$13.95', '$14.0', '$14.0', '$15.5', '$16.95', '$17.0', '$17.0', '$18.0', '$18.5', '$19.95', '$22.95', '$60.0', '$60.0', '$80.0', '$150.0', '$150.0', '$350.0']",49.71590909090909
1814,fantasy,14.94,14.94
1815,far,18.99,18.99
1816,farmer,60.0,60.0
1817,farmers,60.0,60.0
1818,fascinating,29.75,29.75
1819,fast,25.99,25.99
1820,faster,4.99,4.99
1821,fastest,26.0,26.0
1822,fat,5.95,5.95
1823,father,17.85,17.85
1824,father's,4.99,4.99
1825,fathers,7.95,7.95
1826,fatigue,24.99,24.99
1827,fats,9.99,9.99
1828,fault,34.99,34.99
1829,favor,9.84,9.84
1830,favorite,34.99,34.99
1831,favorites,11.97,11.97
1832,fear,9.99,9.99
1833,feat,"['$0.19', '$0.78', '$1.0', '$3.0', '$5.0', '$5.0', '$5.0', '$5.0', '$10.0', '$10.0', '$20.0', '$25.0', '$40.0', '$100.0', '$199.0', '$225.0', '$250.0', '$350.0', '$600.0', '$5000.0', '$5000.0', '$5000.0']",766.0895454545455
1834,feature,8.99,8.99
1835,features,8.99,8.99
1836,featuring,15.82,15.82
1837,fed,49.95,49.95
1838,fee,8.99,8.99
1839,feed,19.99,19.99
1840,feedback,177.95,177.95
1841,feel,7.99,7.99
1842,feelers,4.99,4.99
1843,feeling,3.97,3.97
1844,feelings,9.95,9.95
1845,feels,5.99,5.99
1846,fees,1.99,1.99
1847,feet,6.79,6.79
1848,fellowship,5.15,5.15
1849,felt,9.97,9.97
1850,female,"['$1.0', '$1.0', '$2.06', '$3.95', '$8.39', '$101.0', '$247.2', '$474.0', '$741.0', '$1351.0']",293.06
1851,fest,14.99,14.99
1852,few,12.99,12.99
1853,fewer,7.99,7.99
1854,fiasco,3.99,3.99
1855,fiat,28888.88,28888.88
1856,field,295.0,295.0
1857,fifth,"['$1.0', '$2.0', '$35.0', '$77.0', '$100.0', '$14432.0']",2441.1666666666665
1858,fifty,31.99,31.99
1859,fight,12.5,12.5
1860,fighter,22.99,22.99
1861,fighting,25.0,25.0
1862,figure,"['$1.0', '$2.0', '$5.0', '$8.0', '$8.0', '$12.0', '$25.0']",8.714285714285714
1863,figured,35.0,35.0
1864,figuring,"['$6.44', '$10.0', '$20.0', '$34.68', '$41.12', '$50.0', '$120.0', '$150.0']",54.03
1865,fill,22.86,22.86
1866,filled,7.99,7.99
1867,filling,236.99,236.99
1868,film,15.99,15.99
1869,filming,12.99,12.99
1870,filter,14.99,14.99
1871,filtering,31.99,31.99
1872,final,14.99,14.99
1873,finally,9.7,9.7
1874,finance,"['$40.76', '$300.0']",170.38
1875,financed,470.0,470.0
1876,finances,5.0,5.0
1877,financial,8.99,8.99
1878,financially,10.0,10.0
1879,financing,"['$10.0', '$195.0', '$253.63', '$382.0', '$398.0', '$403.0', '$536.0', '$549.0', '$549.0', '$900.0', '$10000.0', '$10000.0']",2014.635833333333
1880,find,9.0,9.0
1881,finding,7.48,7.48
1882,finds,12.99,12.99
1883,fine,"['$5.0', '$6.0', '$18.5', '$35.0', '$35.0', '$60.5', '$70.0', '$70.0', '$79.0', '$85.0', '$85.0', '$100.0', '$100.0', '$100.0', '$120.0', '$200.0', '$200.0', '$238.0', '$367.0', '$490.0', '$490.0', '$880.0']",174.27272727272728
1884,finger,5.36,5.36
1885,fingers,10.99,10.99
1886,finish,14.99,14.99
1887,finished,"['$1.0', '$1.0', '$1.0', '$2.0', '$2.0', '$3.0', '$5.0', '$5.0', '$8.0', '$10.0', '$15.0', '$15.0', '$18.0', '$20.0', '$35.0', '$40.0', '$50.0', '$50.0', '$68.0', '$70.0', '$75.0', '$155.0', '$166.0', '$175.0', '$178.0', '$248.0', '$303.0', '$416.0', '$474.0', '$955.0', '$6000.0', '$150000.0']",4986.375
1888,finite,289.99,289.99
1889,fire,49.99,49.99
1890,firewall,59.99,59.99
1891,firming,19.99,19.99
1892,firms,19.98,19.98
1893,first,34.99,34.99
1894,fish,"['$8.49', '$11.99', '$11.99', '$12.99', '$14.99']",12.09
1895,fist,9.95,9.95
1896,fit,26.99,26.99
1897,fitness,18.99,18.99
1898,fits,46.99,46.99
1899,five,"['$5.0', '$5.0', '$5.0', '$6.99', '$7.69', '$7.99', '$8.69', '$15.0']",7.67
1900,fix,6.99,6.99
1901,fixated,0.99,0.99
1902,fixed,19.99,19.99
1903,flag,5.94,5.94
1904,flat,17.84,17.84
1905,flats,17.95,17.95
1906,flawed,17.0,17.0
1907,flaws,10.5,10.5
1908,flesh,17.59,17.59
1909,flew,38.0,38.0
1910,flex,"['$28.0', '$30.0', '$30.0', '$31.0', '$31.0', '$32.0', '$36.0', '$36.0', '$995.0', '$34385.0']",3563.4
1911,flexible,3.79,3.79
1912,flight,100.0,100.0
1913,flip,10.99,10.99
1914,flippant,13.95,13.95
1915,flippantly,"['$3.0', '$10.0', '$89.0', '$150.0', '$500.0']",150.4
1916,flipping,13.0,13.0
1917,float,19.99,19.99
1918,floated,19.99,19.99
1919,flood,17.99,17.99
1920,flooded,33.99,33.99
1921,floor,59.5,59.5
1922,flow,12.0,12.0
1923,flowing,2.88,2.88
1924,flows,4.99,4.99
1925,flunked,3.9,3.9
1926,fly,34.99,34.99
1927,flyers,11.99,11.99
1928,flying,169.99,169.99
1929,flywheel,79.95,79.95
1930,focus,21.65,21.65
1931,focused,79.99,79.99
1932,focuses,12.82,12.82
1933,focusing,30.0,30.0
1934,fog,168.99,168.99
1935,folks,"['$7.59', '$8.59', '$8.69', '$9.59', '$10.49', '$10.99', '$11.0']",9.562857142857142
1936,follow,4.99,4.99
1937,followed,7.99,7.99
1938,followers,0.99,0.99
1939,following,11.98,11.98
1940,follows,6.48,6.48
1941,fond,27.89,27.89
1942,food,27.0,27.0
1943,fool's,5.44,5.44
1944,foot,8.99,8.99
1945,football,19.95,19.95
1946,for,7.99,7.99
1947,fora,14.75,14.75
1948,forbade,11.5,11.5
1949,forbidden,10.5,10.5
1950,force,"['$5.0', '$10.0', '$10.0', '$25.0', '$25.0', '$50.0', '$75.0', '$168.0']",46.0
1951,forced,,
1952,forces,"['$1.0', '$2.0', '$3.2', '$5.2', '$89.99', '$109.99', '$130.0', '$760.0']",137.6725
1953,forcing,139.99,139.99
1954,foreclosure,0.01,0.01
1955,forefront,89.0,89.0
1956,forego,3.99,3.99
1957,foreign,9.99,9.99
1958,forever,46.0,46.0
1959,forget,14.29,14.29
1960,forgetting,4.15,4.15
1961,forgo,41.99,41.99
1962,forgot,4.09,4.09
1963,fork,183.75,183.75
1964,form,39.99,39.99
1965,formal,19.99,19.99
1966,formalized,99.99,99.99
1967,format,13.75,13.75
1968,formed,15.4,15.4
1969,former,13.49,13.49
1970,forms,23.0,23.0
1971,formula,98.2,98.2
1972,forth,40.0,40.0
1973,forties,112.5,112.5
1974,fortify,17.95,17.95
1975,fortunate,3.29,3.29
1976,fortune,15.0,15.0
1977,fortunes,10.0,10.0
1978,forty,14.99,14.99
1979,forum,17.95,17.95
1980,forward,110.5,110.5
1981,foster,40.0,40.0
1982,found,49.85,49.85
1983,foundation,4.78,4.78
1984,founded,9.95,9.95
1985,founder,249.99,249.99
1986,founders,139.0,139.0
1987,founding,3.99,3.99
1988,foundry,25.5,25.5
1989,four,4.49,4.49
1990,fourth,12.88,12.88
1991,fraction,5.06,5.06
1992,fragile,6.99,6.99
1993,frame,49.95,49.95
1994,framework,4.14,4.14
1995,franc,2.45,2.45
1996,france,8.95,8.95
1997,franchise,89.99,89.99
1998,franchisee,29.0,29.0
1999,frank,16.95,16.95
2000,frankly,20.0,20.0
2001,fraud,14.99,14.99
2002,freak,26.5,26.5
2003,freaking,7.99,7.99
2004,free,,
2005,freedom,"['$2.42', '$55.0']",28.71
2006,frequency,8.49,8.49
2007,fridge,254.98,254.98
2008,friend,9.88,9.88
2009,friend's,41.99,41.99
2010,friendly,11.95,11.95
2011,friends,13.5,13.5
2012,frightening,8.41,8.41
2013,frogs,"['$2.0', '$4.75', '$7.0', '$9.99', '$35.0', '$40.0', '$40.0', '$45.0', '$55.0']",26.52666666666667
2014,from,25.0,25.0
2015,front,88.26,88.26
2016,fruit,2.25,2.25
2017,fruition,10.0,10.0
2018,frustrated,8.0,8.0
2019,frustrating,70.0,70.0
2020,frustration,15.99,15.99
2021,frustrations,,
2022,fuck,11.9,11.9
2023,fucked,11.9,11.9
2024,fucking,9.99,9.99
2025,fuel,30.63,30.63
2026,fulfill,50.0,50.0
2027,fulfilled,4.14,4.14
2028,fulfilling,34.99,34.99
2029,fulfillment,3.99,3.99
2030,full,21.99,21.99
2031,fuller,9.99,9.99
2032,fullness,15.0,15.0
2033,fully,349.0,349.0
2034,fun,3.99,3.99
2035,function,,
2036,functions,15.99,15.99
2037,fund,119.95,119.95
2038,fundamental,30.0,30.0
2039,fundamentals,10.21,10.21
2040,funded,129.0,129.0
2041,funding,27.0,27.0
2042,funds,13.59,13.59
2043,funk,"['$1.0', '$4.0', '$85.0', '$800.0']",222.5
2044,funnier,11.0,11.0
2045,funny,15.97,15.97
2046,furniture,419.99,419.99
2047,further,11.0,11.0
2048,furthest,59.0,59.0
2049,future,5.99,5.99
2050,futures,54.99,54.99
2051,gain,21.99,21.99
2052,gaining,58.65,58.65
2053,gains,64.99,64.99
2054,gamble,12.49,12.49
2055,gambler,4.79,4.79
2056,game,9.99,9.99
2057,gamer,17.97,17.97
2058,games,9.99,9.99
2059,gaming,299.99,299.99
2060,gap,12.99,12.99
2061,garage,20.0,20.0
2062,garbage,39.99,39.99
2063,gas,39.99,39.99
2064,gate,10.97,10.97
2065,gated,177.37,177.37
2066,gates,"['$23.95', '$29.5', '$43.5', '$79.95', '$82.0']",51.78
2067,gather,21.7,21.7
2068,gathering,11.99,11.99
2069,gave,6.95,6.95
2070,gay,14.99,14.99
2071,geared,162.99,162.99
2072,gearshift,13.99,13.99
2073,geeks,17.42,17.42
2074,geez,22.0,22.0
2075,gender,16.0,16.0
2076,general,28.95,28.95
2077,generally,12.95,12.95
2078,generate,345.2,345.2
2079,generated,345.2,345.2
2080,generates,345.2,345.2
2081,generating,345.2,345.2
2082,generation,"['$0.0', '$31.67', '$50.0', '$100.0', '$102.0', '$107.0', '$134.0', '$499.0', '$779.0', '$949.99']",275.266
2083,generic,17.5,17.5
2084,genius,99.95,99.95
2085,geniuses,13.99,13.99
2086,gentleman,34.19,34.19
2087,genuinely,9.99,9.99
2088,genus,8.0,8.0
2089,geodesic,199.0,199.0
2090,get,19.98,19.98
2091,gets,14.39,14.39
2092,getting,7.99,7.99
2093,getup,5.0,5.0
2094,giant,0.99,0.99
2095,gift,25.0,25.0
2096,giggle,11.82,11.82
2097,girl,11.99,11.99
2098,girls,,
2099,give,9.99,9.99
2100,given,50.0,50.0
2101,gives,39.0,39.0
2102,giving,5.0,5.0
2103,glad,22.0,22.0
2104,glass,28.99,28.99
2105,glitz,6.99,6.99
2106,global,59.95,59.95
2107,glory,7.98,7.98
2108,gloves,15.99,15.99
2109,gluing,"['$0.0', '$0.44', '$0.44', '$0.44', '$0.44', '$0.44', '$0.44', '$0.58', '$1.0', '$1.0', '$1.44', '$3.44', '$5.28', '$5.28']",1.4757142857142858
2110,go,4.99,4.99
2111,goal,,
2112,goals,,
2113,god,14.99,14.99
2114,goes,4.75,4.75
2115,going,23.35,23.35
2116,gold,34.99,34.99
2117,golden,"['$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$1.0', '$11.74', '$30.0', '$58.0', '$58.0', '$58.0', '$58.23', '$58.39', '$58.42', '$2000.0']",120.089
2118,golf,159.99,159.99
2119,golfer,47.97,47.97
2120,golfers,8.75,8.75
2121,gone,9.65,9.65
2122,gonna,23.95,23.95
2123,good,22.95,22.95
2124,goodman,1080.0,1080.0
2125,goodness,9.29,9.29
2126,goods,20.0,20.0
2127,goofy,36.0,36.0
2128,google,16.99,16.99
2129,got,7.0,7.0
2130,gotta,"['$10.0', '$20.0', '$78.0']",36.0
2131,gotten,1.0,1.0
2132,government,15.0,15.0
2133,government's,41.76,41.76
2134,governor,6.99,6.99
2135,grab,25.0,25.0
2136,grabber,"['$3.0', '$21.99', '$24.99', '$101.0', '$166.0', '$273.0', '$459.0']",149.85428571428568
2137,grace,24.99,24.99
2138,grade,9.99,9.99
2139,grades,199.99,199.99
2140,gradually,12.49,12.49
2141,graduate,12.99,12.99
2142,graduated,12.99,12.99
2143,graduates,12.99,12.99
2144,grand,99.99,99.99
2145,grandma,14.95,14.95
2146,grandmother,7.17,7.17
2147,grant,9.0,9.0
2148,granted,0.99,0.99
2149,graph,22.95,22.95
2150,graphic,17.79,17.79
2151,graphics,99.99,99.99
2152,grass,19.9,19.9
2153,grateful,15.95,15.95
2154,gratification,75.98,75.98
2155,gratitude,6.19,6.19
2156,gravity,17.9,17.9
2157,great,6.95,6.95
2158,greatest,6.99,6.99
2159,greatly,8.99,8.99
2160,greatness,389.0,389.0
2161,greed,10.0,10.0
2162,greedy,21.99,21.99
2163,green,12.99,12.99
2164,greener,22.96,22.96
2165,greenhouse,63.75,63.75
2166,greenhouses,63.75,63.75
2167,grew,6.92,6.92
2168,grid,49.99,49.99
2169,grit,21.96,21.96
2170,grocery,7.0,7.0
2171,gross,4.19,4.19
2172,ground,239.99,239.99
2173,group,189.0,189.0
2174,groups,189.0,189.0
2175,grow,40.84,40.84
2176,growing,39.99,39.99
2177,grows,29.99,29.99
2178,growth,8.99,8.99
2179,guarantee,29.99,29.99
2180,guard,59.99,59.99
2181,guards,9.99,9.99
2182,guess,39.95,39.95
2183,guest,13.88,13.88
2184,guidance,11.99,11.99
2185,guide,25.0,25.0
2186,guides,12.99,12.99
2187,guiding,29.99,29.99
2188,guilt,4.06,4.06
2189,guinea,0.99,0.99
2190,gun,13.9,13.9
2191,guns,14.95,14.95
2192,gurus,5.96,5.96
2193,guts,18.99,18.99
2194,guy,8.95,8.95
2195,guy's,,
2196,guys,9.95,9.95
2197,gym,29.99,29.99
2198,gypsies,3.95,3.95
2199,ha,11.76,11.76
2200,habit,19.99,19.99
2201,habits,4.02,4.02
2202,habitual,4.95,4.95
2203,hack,27.99,27.99
2204,hacking,10.95,10.95
2205,hacks,4.0,4.0
2206,had,10.0,10.0
2207,haggle,75.0,75.0
2208,hair,10.9,10.9
2209,half,10.95,10.95
2210,halfway,5.8,5.8
2211,halves,10.95,10.95
2212,halving,12950.0,12950.0
2213,hammer,9.25,9.25
2214,hammered,74.99,74.99
2215,hammering,169.0,169.0
2216,hand,19.99,19.99
2217,handed,139.99,139.99
2218,handful,39.95,39.95
2219,handle,23.97,23.97
2220,handling,4.65,4.65
2221,hands,4.0,4.0
2222,handsome,9.99,9.99
2223,hang,27.0,27.0
2224,hanging,6.9,6.9
2225,happen,"['$2.0', '$5.0', '$5.0', '$5.0']",4.25
2226,happened,23.94,23.94
2227,happening,4.39,4.39
2228,happens,21.96,21.96
2229,happier,4.49,4.49
2230,happiest,3.82,3.82
2231,happily,19.99,19.99
2232,happiness,7.0,7.0
2233,happy,28.12,28.12
2234,hard,"['$9.99', '$13.99', '$25.0', '$25.0', '$49.99', '$50.0', '$50.0', '$66.99', '$83.72', '$99.99']",47.46700000000001
2235,hardens,$200.0,200.0
2236,harder,9.0,9.0
2237,hardest,12.99,12.99
2238,hardly,10.02,10.02
2239,hardware,36.9,36.9
2240,harm,35.0,35.0
2241,harped,0.99,0.99
2242,harrowing,18.99,18.99
2243,harsh,5.95,5.95
2244,has,7.99,7.99
2245,hash,14.99,14.99
2246,hasn't,,
2247,hate,6.99,6.99
2248,hated,1.99,1.99
2249,haters,22.95,22.95
2250,have,,
2251,haven,47.99,47.99
2252,haven't,19.99,19.99
2253,having,4.09,4.09
2254,hazing,15.95,15.95
2255,he,9.99,9.99
2256,he'd,,
2257,he'll,,
2258,he's,29.59,29.59
2259,head,,
2260,head's,39.99,39.99
2261,heading,9.99,9.99
2262,headline,24.95,24.95
2263,headlines,30.0,30.0
2264,headquarters,129.99,129.99
2265,headroom,400.0,400.0
2266,heads,549.27,549.27
2267,health,14.99,14.99
2268,healthier,15.51,15.51
2269,healthy,9.39,9.39
2270,heap,90.0,90.0
2271,hear,9.5,9.5
2272,heard,18.0,18.0
2273,hearing,24.98,24.98
2274,heart,17.0,17.0
2275,hearts,32.99,32.99
2276,heats,20.0,20.0
2277,heaven,3.87,3.87
2278,heavenly,14.99,14.99
2279,heavily,35.0,35.0
2280,heavy,38.09,38.09
2281,heck,59.0,59.0
2282,hedge,59.9,59.9
2283,hedging,27.0,27.0
2284,held,27.95,27.95
2285,hell,10.71,10.71
2286,hell's,,
2287,hello,4.99,4.99
2288,help,4.95,4.95
2289,helped,0.5,0.5
2290,helpful,13.2,13.2
2291,helping,10.95,10.95
2292,helpless,3.58,3.58
2293,helps,23.99,23.99
2294,hence,21.99,21.99
2295,her,9.13,9.13
2296,here,46.0,46.0
2297,here's,6.5,6.5
2298,herein,10.0,10.0
2299,hereof,34.95,34.95
2300,hereto,19.99,19.99
2301,hero,29.99,29.99
2302,heroes,28.95,28.95
2303,hesitate,,
2304,hey,50.0,50.0
2305,hi,39.99,39.99
2306,hidden,17.99,17.99
2307,hide,9.99,9.99
2308,hiding,6.59,6.59
2309,hierarchically,166.31,166.31
2310,hierarchy,39.99,39.99
2311,high,44.99,44.99
2312,higher,15.85,15.85
2313,highest,22.92,22.92
2314,highlight,2.99,2.99
2315,highly,6.99,6.99
2316,highway,5.0,5.0
2317,him,21.99,21.99
2318,himself,13.98,13.98
2319,hire,5.5,5.5
2320,hired,5.25,5.25
2321,hires,140.0,140.0
2322,hiring,"['$1.0', '$1.0', '$4.0', '$4.0', '$4.0', '$4.0', '$4.0', '$4.0', '$4.0', '$4.0', '$20.0']",4.909090909090909
2323,his,21.95,21.95
2324,historical,24.99,24.99
2325,history,3.96,3.96
2326,hit,92.0,92.0
2327,hitchhiked,8.63,8.63
2328,hits,6.99,6.99
2329,hitting,"['$3.0', '$4.0', '$13.0', '$20.0', '$28.0', '$30.0', '$35.0', '$45.0', '$50.0', '$55.0', '$65.0', '$150.0', '$175.0']",51.769230769230774
2330,hoax,16.0,16.0
2331,hobby,134.99,134.99
2332,hockey,28.95,28.95
2333,hog,11.5,11.5
2334,hold,11.99,11.99
2335,holders,10.98,10.98
2336,holding,37.5,37.5
2337,holdings,49.0,49.0
2338,holds,46.0,46.0
2339,hole,11.95,11.95
2340,holes,4.49,4.49
2341,holiday,9.21,9.21
2342,holy,21.95,21.95
2343,home,5.99,5.99
2344,homeless,18.99,18.99
2345,homepage,39.97,39.97
2346,homes,7.99,7.99
2347,homework,2.0,2.0
2348,hone,"['$1.0', '$1.0', '$1.16', '$22.0', '$234.0']",51.83200000000001
2349,honest,8.99,8.99
2350,honestly,5.5,5.5
2351,honeymoon,13.98,13.98
2352,honor,"['$122.99', '$206.74']",164.865
2353,honorable,0.99,0.99
2354,hood,539.99,539.99
2355,hook,7.99,7.99
2356,hop,13.75,13.75
2357,hope,229.99,229.99
2358,hopefully,99.95,99.95
2359,hoping,,
2360,horizon,56.99,56.99
2361,horny,8.99,8.99
2362,horrible,4.39,4.39
2363,horrific,80.0,80.0
2364,horror,32.99,32.99
2365,hospital,19.99,19.99
2366,host,4.99,4.99
2367,hosted,200.0,200.0
2368,hostess,1.99,1.99
2369,hosting,4.99,4.99
2370,hot,9.99,9.99
2371,hotel,14.5,14.5
2372,hour,41.0,41.0
2373,hourly,9.99,9.99
2374,hours,10.97,10.97
2375,house,459.0,459.0
2376,housekeeping,19.99,19.99
2377,houses,52.89,52.89
2378,hover,99.99,99.99
